,time,prophet_pred,arima_pred,values,precinct_number
116,2023-03-01,158.30040713418924,125.56411702467008,160.0,10
117,2023-04-01,138.44796684707256,146.38938240416508,154.0,10
118,2023-05-01,140.2816419003172,143.01231234262534,157.0,10
119,2023-06-01,125.76666108372672,144.7008473733952,104.0,10
120,2023-07-01,131.5833904492568,114.87006182979428,,10
121,2023-08-01,161.2533504654326,120.98822189187491,,10
122,2023-09-01,152.3191158805782,124.43179775476835,,10
123,2023-10-01,168.6588596198401,126.36999724663808,,10
124,2023-11-01,152.35010523787778,127.46090315951886,,10
125,2023-12-01,115.18873286297554,128.07491410924325,,10
126,2024-01-01,151.45571754008876,128.42050710853857,,10
127,2024-02-01,145.20517926756074,128.61502240377155,,10
128,2024-03-01,163.23698504018824,128.72450436711202,,10
129,2024-04-01,141.4308138146319,128.78612574389132,,10
130,2024-05-01,143.03167105244916,128.82080902833667,,10
131,2024-06-01,129.44821188718817,128.84033034192606,,10
108,2022-07-01,265.0341017414056,289.5621081416116,330.0,13
109,2022-08-01,304.72568113140983,291.78346435535553,393.0,13
110,2022-09-01,297.3534464589699,326.76982472182226,363.0,13
111,2022-10-01,323.6280083738857,310.10965311874287,348.0,13
112,2022-11-01,292.3153840607629,301.77956731720315,376.0,13
113,2022-12-01,197.36640694998164,317.3290608134106,188.0,13
114,2023-01-01,272.5398732176352,212.92531876744636,253.0,13
115,2023-02-01,262.3641973174652,249.02235724078503,278.0,13
116,2023-03-01,314.61908370555693,262.90583357668453,346.0,13
117,2023-04-01,280.6225556254987,300.6688892103312,273.0,13
118,2023-05-01,285.99009003873573,260.12913830950464,295.0,13
119,2023-06-01,259.6064159450201,272.3465974850962,217.0,13
120,2023-07-01,273.18271189149027,229.03015131708975,,13
121,2023-08-01,312.1859372001637,235.710964162214,,13
122,2023-09-01,304.1826309878422,239.42108044380825,,13
123,2023-10-01,331.4003078661775,241.4814529077662,,13
124,2023-11-01,299.6285447924293,242.62565820162612,,13
125,2023-12-01,205.18697204350732,243.2610800864548,,13
126,2024-01-01,280.18919476998894,243.613954674508,,13
127,2024-02-01,270.205991298745,243.80991971421912,,13
128,2024-03-01,324.64646210646885,243.9187467538788,,13
129,2024-04-01,287.8151434980382,243.97918265907168,,13
130,2024-05-01,293.6932221084218,244.01274507745504,,13
131,2024-06-01,267.6654038959738,244.03138359911108,,13
108,2022-07-01,247.5306373198241,260.5151751816143,250.0,14
109,2022-08-01,320.5297595729977,269.6747762683319,316.0,14
110,2022-09-01,289.3751999777968,305.2355804873531,218.0,14
111,2022-10-01,327.18323534638074,252.43317422274583,288.0,14
112,2022-11-01,288.4185583982964,290.14917869746535,301.0,14
113,2022-12-01,193.47365298779468,297.15357952848467,107.0,14
114,2023-01-01,270.2542395072758,192.62636712711924,209.0,14
115,2023-02-01,254.48528353016263,247.5839736474248,262.0,14
116,2023-03-01,295.49432458675426,276.14037703542664,335.0,14
117,2023-04-01,250.3748243790901,315.4727817019198,239.0,14
118,2023-05-01,268.4213092046082,263.7479755651617,282.0,14
119,2023-06-01,212.06278266685,286.916378313918,202.0,14
120,2023-07-01,241.96903384069336,243.8123731999528,,14
121,2023-08-01,313.53154721641863,266.3408825529251,,14
122,2023-09-01,281.4984917162017,278.47924483243173,,14
123,2023-10-01,320.63236783169134,285.01939520456943,,14
124,2023-11-01,281.99682904426027,288.5432286431535,,14
125,2023-12-01,187.07961407963148,290.44187032512207,,14
126,2024-01-01,264.3050484870796,291.4648585847366,,14
127,2024-02-01,247.4836272087376,292.01604472441096,,14
128,2024-03-01,291.7953973210418,292.31302385170187,,14
129,2024-04-01,243.41017016302703,292.4730362244705,,14
130,2024-05-01,258.50945928442314,292.5592509011469,,14
131,2024-06-01,208.64855730575437,292.6057033744514,,14
108,2022-07-01,136.79894675931726,147.85165960599414,142.0,17
109,2022-08-01,162.4552694003574,150.42880122736184,155.0,17
110,2022-09-01,142.8274396581632,156.90589554448232,127.0,17
111,2022-10-01,172.75919267165395,141.9164069222389,153.0,17
112,2022-11-01,146.29408664867194,154.97111948110242,134.0,17
113,2022-12-01,112.37068404704608,144.76458162319835,80.0,17
114,2023-01-01,141.5556906722551,115.4891917800632,91.0,17
115,2023-02-01,126.00093488181656,119.5013338678673,146.0,17
116,2023-03-01,151.48534948060572,147.27514628187814,149.0,17
117,2023-04-01,131.0133803951136,148.8045538902546,109.0,17
118,2023-05-01,133.04787051244026,127.54212973344043,135.0,17
119,2023-06-01,106.0429710713948,140.40908121865317,89.0,17
120,2023-07-01,131.31911385744792,115.66554830838793,,17
121,2023-08-01,155.85678569149024,128.46577709493596,,17
122,2023-09-01,135.25167004236508,134.61025442175074,,17
123,2023-10-01,166.05031153492737,137.55977995362386,,17
124,2023-11-01,139.86595454081845,138.975636893189,,17
125,2023-12-01,106.0251225655642,139.65528887505937,,17
126,2024-01-01,135.50058119488233,139.98154133994623,,17
127,2024-02-01,119.20696341571067,140.13815189017495,,17
128,2024-03-01,147.38937455417758,140.21332945075352,,17
129,2024-04-01,122.81130799010084,140.24941683826535,,17
130,2024-05-01,125.61437940436774,140.2667398203814,,17
131,2024-06-01,102.15573848970476,140.2750553491598,,17
108,2022-07-01,220.86535703761592,247.5545049616532,255.0,18
109,2022-08-01,286.3713722370263,264.3092932101605,314.0,18
110,2022-09-01,255.3035760988484,295.8048488821871,200.0,18
111,2022-10-01,297.5202448799307,234.9578647669779,237.0,18
112,2022-11-01,260.2542635009245,253.476585921276,233.0,18
113,2022-12-01,192.3131303048704,250.6170993981317,120.0,18
114,2023-01-01,251.27564210390187,188.79474352942387,199.0,18
115,2023-02-01,222.55032162755276,228.5821369773094,217.0,18
116,2023-03-01,254.3694050208997,237.0589085173133,225.0,18
117,2023-04-01,238.5385209579758,240.5338056557003,240.0,18
118,2023-05-01,230.75883616059176,247.9837527994748,214.0,18
119,2023-06-01,188.9812957937567,233.59281207879263,171.0,18
120,2023-07-01,213.11327935541505,209.5219801809878,,18
121,2023-08-01,276.29267044059463,228.71245773456133,,18
122,2023-09-01,243.44667230991905,238.27256931252137,,18
123,2023-10-01,288.9838460734589,243.03512580064933,,18
124,2023-11-01,250.00271391061835,245.4076864258727,,18
125,2023-12-01,183.2644722900932,246.58962388622456,,18
126,2024-01-01,242.76128278414905,247.17842913964205,,18
127,2024-02-01,212.2713235599713,247.4717539881064,,18
128,2024-03-01,247.90770498062173,247.61787949603493,,18
129,2024-04-01,226.55037680160413,247.69067477464557,,18
130,2024-05-01,221.04819106209143,247.7269391658741,,18
131,2024-06-01,181.78495687568864,247.7450049813539,,18
108,2022-07-01,318.2037083049309,380.3079433301226,387.0,19
109,2022-08-01,403.4982131009496,381.5823252969401,382.0,19
110,2022-09-01,397.053653361613,379.0913229419168,332.0,19
111,2022-10-01,430.3928626301559,352.1036122972451,362.0,19
112,2022-11-01,387.8847237391172,367.5522421624331,369.0,19
113,2022-12-01,285.1537867991541,371.12201321622496,257.0,19
114,2023-01-01,378.8704130110616,310.3196815248727,373.0,19
115,2023-02-01,318.91859522570985,371.0436892554374,433.0,19
116,2023-03-01,375.5328931640095,403.6495242893112,466.0,19
117,2023-04-01,338.3192461176672,422.7284907043604,376.0,19
118,2023-05-01,352.16107622698144,375.69219797672497,399.0,19
119,2023-06-01,302.5942732518423,388.1731609105221,333.0,19
120,2023-07-01,309.09003288826324,352.8327614414791,,19
121,2023-08-01,388.8992575214631,362.7805939713599,,19
122,2023-09-01,383.5989673598256,367.7702860187612,,19
123,2023-10-01,418.174112767257,370.27304495173627,,19
124,2023-11-01,377.43641862837984,371.528393421558,,19
125,2023-12-01,273.7369280646283,372.1580584523847,,19
126,2024-01-01,371.4407025457888,372.4738895228622,,19
127,2024-02-01,306.8859866206157,372.63230591919273,,19
128,2024-03-01,381.1457902990503,372.7117653421951,,19
129,2024-04-01,320.5268761350489,372.75162106452007,,19
130,2024-05-01,337.7567079730447,372.7716121309288,,19
131,2024-06-01,288.06208599921126,372.7816393669905,,19
108,2022-07-01,133.87153188354245,153.71818169217056,183.0,20
109,2022-08-01,152.33678018757945,166.5326278329671,159.0,20
110,2022-09-01,158.5427738882671,154.7039083183857,153.0,20
111,2022-10-01,169.55960128296698,151.7467284397403,160.0,20
112,2022-11-01,142.67302781874918,155.19677163149322,149.0,20
113,2022-12-01,111.92950011508916,149.7752751873101,110.0,20
114,2023-01-01,151.78363399103034,130.55360597611525,155.0,20
115,2023-02-01,128.0415815539298,152.73245506595543,148.0,20
116,2023-03-01,157.2116764555797,149.28241187420252,227.0,20
117,2023-04-01,139.53339771591064,188.21861360969973,141.0,20
118,2023-05-01,132.2806748920313,145.8323686824496,160.0,20
119,2023-06-01,122.75870574434045,155.19677163149322,147.0,20
120,2023-07-01,132.03926709004958,148.78954856109496,,20
121,2023-08-01,149.4741904572162,149.67155139388308,,20
122,2023-09-01,156.18847266545444,150.10625823222128,,20
123,2023-10-01,167.8783314121698,150.32050928479518,,20
124,2023-11-01,139.75807226227514,150.42610576840352,,20
125,2023-12-01,110.38170617541115,150.47815040116723,,20
126,2024-01-01,150.4921409783632,150.50380129130062,,20
127,2024-02-01,125.8275631013018,150.51644367399592,,20
128,2024-03-01,157.13549361670766,150.5226746406167,,20
129,2024-04-01,139.13791761952535,150.5257456554693,,20
130,2024-05-01,128.29405304152672,150.52725924602416,,20
131,2024-06-01,119.33240550031137,150.5280052392797,,20
108,2022-07-01,0.122238896680467,0.6422927023369521,0.0,22
109,2022-08-01,-0.0788923015342369,0.2059149065508312,0.0,22
110,2022-09-01,0.2269337197930691,0.3538892717123227,1.0,22
111,2022-10-01,0.5317837350004144,0.6428085376191034,0.0,22
112,2022-11-01,0.3363554552014468,0.2057399883970174,0.0,22
113,2022-12-01,-0.0537145721175605,0.3539485859189936,0.0,22
114,2023-01-01,0.6546121427626643,0.3036915074389089,0.0,22
115,2023-02-01,0.4463540709447113,0.3207335278046901,1.0,22
116,2023-03-01,0.2432864797978463,0.6540515481562242,0.0,22
117,2023-04-01,0.1393431412061192,0.2019275181870303,1.0,22
118,2023-05-01,0.2295722337918618,0.6943382997286158,0.0,22
119,2023-06-01,0.3251163330261917,0.1882664049362883,0.0,22
120,2023-07-01,0.085652906166018,0.3598738241979939,,22
121,2023-08-01,-0.1144080545056459,0.42371438167067,,22
122,2023-09-01,0.1971009769957155,0.42371438167067,,22
123,2023-10-01,0.4971155133400087,0.42371438167067,,22
124,2023-11-01,0.299267672726579,0.42371438167067,,22
125,2023-12-01,-0.0831034615023866,0.42371438167067,,22
126,2024-01-01,0.6258218664049888,0.42371438167067,,22
